date,ticker,window,realized_vol
2025-01-02,ACA FP Equity,20,
2025-01-03,ACA FP Equity,20,
2025-01-06,ACA FP Equity,20,
2025-01-07,ACA FP Equity,20,
2025-01-08,ACA FP Equity,20,
2025-01-09,ACA FP Equity,20,
2025-01-10,ACA FP Equity,20,
2025-01-13,ACA FP Equity,20,
2025-01-14,ACA FP Equity,20,
2025-01-15,ACA FP Equity,20,
2025-01-16,ACA FP Equity,20,
2025-01-17,ACA FP Equity,20,
2025-01-20,ACA FP Equity,20,
2025-01-21,ACA FP Equity,20,
2025-01-22,ACA FP Equity,20,
2025-01-23,ACA FP Equity,20,
2025-01-24,ACA FP Equity,20,
2025-01-27,ACA FP Equity,20,
2025-01-28,ACA FP Equity,20,
2025-01-29,ACA FP Equity,20,0.201347
2025-01-30,ACA FP Equity,20,0.232563
2025-01-31,ACA FP Equity,20,0.223593
2025-02-03,ACA FP Equity,20,0.224091
2025-02-04,ACA FP Equity,20,0.218795
2025-02-05,ACA FP Equity,20,0.221264
2025-02-06,ACA FP Equity,20,0.224589
2025-02-07,ACA FP Equity,20,0.218156
2025-02-10,ACA FP Equity,20,0.215239
2025-02-11,ACA FP Equity,20,0.242829
2025-02-12,ACA FP Equity,20,0.24529
2025-02-13,ACA FP Equity,20,0.249361
2025-02-14,ACA FP Equity,20,0.230198
2025-02-17,ACA FP Equity,20,0.23014
2025-02-18,ACA FP Equity,20,0.226812
2025-02-19,ACA FP Equity,20,0.227539
2025-02-20,ACA FP Equity,20,0.220976
2025-02-21,ACA FP Equity,20,0.237762
2025-02-24,ACA FP Equity,20,0.237979
2025-02-25,ACA FP Equity,20,0.231959
2025-02-26,ACA FP Equity,20,0.232144
2025-02-27,ACA FP Equity,20,0.216427
2025-02-28,ACA FP Equity,20,0.205349
2025-03-03,ACA FP Equity,20,0.204811
2025-03-04,ACA FP Equity,20,0.204485
2025-03-05,ACA FP Equity,20,0.204181
2025-03-06,ACA FP Equity,20,0.193225
2025-03-07,ACA FP Equity,20,0.196193
2025-03-10,ACA FP Equity,20,0.195947
2025-03-11,ACA FP Equity,20,0.169764
2025-03-12,ACA FP Equity,20,0.1624
2025-03-13,ACA FP Equity,20,0.158641
2025-03-14,ACA FP Equity,20,0.159436
2025-03-17,ACA FP Equity,20,0.157691
2025-03-18,ACA FP Equity,20,0.153238
2025-03-19,ACA FP Equity,20,0.149821
2025-03-20,ACA FP Equity,20,0.168787
2025-03-21,ACA FP Equity,20,0.179934
2025-03-24,ACA FP Equity,20,0.180086
2025-03-25,ACA FP Equity,20,0.180494
2025-03-26,ACA FP Equity,20,0.186639
2025-03-27,ACA FP Equity,20,0.17861
2025-03-28,ACA FP Equity,20,0.181691
2025-03-31,ACA FP Equity,20,0.185444
2025-04-01,ACA FP Equity,20,0.191423
2025-04-02,ACA FP Equity,20,0.190523
2025-04-03,ACA FP Equity,20,0.191389
2025-04-04,ACA FP Equity,20,0.189029
2025-04-07,ACA FP Equity,20,0.192243
2025-04-08,ACA FP Equity,20,0.19526
2025-04-09,ACA FP Equity,20,0.196457
2025-04-10,ACA FP Equity,20,0.196758
2025-04-11,ACA FP Equity,20,0.191499
2025-04-14,ACA FP Equity,20,0.196032
2025-04-15,ACA FP Equity,20,0.198056
2025-04-16,ACA FP Equity,20,0.210628
2025-04-17,ACA FP Equity,20,0.195038
2025-04-18,ACA FP Equity,20,0.16531
2025-04-21,ACA FP Equity,20,0.173919
2025-04-22,ACA FP Equity,20,0.173369
2025-04-23,ACA FP Equity,20,0.170641
2025-04-24,ACA FP Equity,20,0.174655
2025-04-25,ACA FP Equity,20,0.173735
2025-04-28,ACA FP Equity,20,0.171483
2025-04-29,ACA FP Equity,20,0.191461
2025-04-30,ACA FP Equity,20,0.193313
2025-05-01,ACA FP Equity,20,0.198872
2025-05-02,ACA FP Equity,20,0.199562
2025-05-05,ACA FP Equity,20,0.198081
2025-05-06,ACA FP Equity,20,0.19597
2025-05-07,ACA FP Equity,20,0.196505
2025-05-08,ACA FP Equity,20,0.219023
2025-05-09,ACA FP Equity,20,0.215721
2025-05-12,ACA FP Equity,20,0.213531
2025-05-13,ACA FP Equity,20,0.214369
2025-05-14,ACA FP Equity,20,0.209667
2025-05-15,ACA FP Equity,20,0.216729
2025-05-16,ACA FP Equity,20,0.219154
2025-05-19,ACA FP Equity,20,0.215673
2025-05-20,ACA FP Equity,20,0.218247
2025-05-21,ACA FP Equity,20,0.257375
2025-05-22,ACA FP Equity,20,0.254454
2025-05-23,ACA FP Equity,20,0.251886
2025-05-26,ACA FP Equity,20,0.252168
2025-05-27,ACA FP Equity,20,0.230669
2025-05-28,ACA FP Equity,20,0.231371
2025-05-29,ACA FP Equity,20,0.226313
2025-05-30,ACA FP Equity,20,0.234361
2025-06-02,ACA FP Equity,20,0.237835
2025-06-03,ACA FP Equity,20,0.230925
2025-06-04,ACA FP Equity,20,0.23018
2025-06-05,ACA FP Equity,20,0.20418
2025-06-06,ACA FP Equity,20,0.202203
2025-06-09,ACA FP Equity,20,0.189405
2025-06-10,ACA FP Equity,20,0.182891
2025-06-11,ACA FP Equity,20,0.193813
2025-06-12,ACA FP Equity,20,0.193997
2025-06-13,ACA FP Equity,20,0.216896
2025-06-16,ACA FP Equity,20,0.219615
2025-06-17,ACA FP Equity,20,0.217926
2025-06-18,ACA FP Equity,20,0.178587
2025-06-19,ACA FP Equity,20,0.184919
2025-06-20,ACA FP Equity,20,0.205056
2025-06-23,ACA FP Equity,20,0.211598
2025-06-24,ACA FP Equity,20,0.21164
2025-06-25,ACA FP Equity,20,0.211571
2025-06-26,ACA FP Equity,20,0.20943
2025-06-27,ACA FP Equity,20,0.203928
2025-06-30,ACA FP Equity,20,0.215672
2025-07-01,ACA FP Equity,20,0.213473
2025-07-02,ACA FP Equity,20,0.214374
2025-07-03,ACA FP Equity,20,0.214862
2025-07-04,ACA FP Equity,20,0.215564
2025-07-07,ACA FP Equity,20,0.21555
2025-07-08,ACA FP Equity,20,0.226187
2025-07-09,ACA FP Equity,20,0.205864
2025-07-10,ACA FP Equity,20,0.211234
