date,ticker,window,realized_vol
2025-01-02,BBVA SM Equity,20,
2025-01-03,BBVA SM Equity,20,
2025-01-06,BBVA SM Equity,20,
2025-01-07,BBVA SM Equity,20,
2025-01-08,BBVA SM Equity,20,
2025-01-09,BBVA SM Equity,20,
2025-01-10,BBVA SM Equity,20,
2025-01-13,BBVA SM Equity,20,
2025-01-14,BBVA SM Equity,20,
2025-01-15,BBVA SM Equity,20,
2025-01-16,BBVA SM Equity,20,
2025-01-17,BBVA SM Equity,20,
2025-01-20,BBVA SM Equity,20,
2025-01-21,BBVA SM Equity,20,
2025-01-22,BBVA SM Equity,20,
2025-01-23,BBVA SM Equity,20,
2025-01-24,BBVA SM Equity,20,
2025-01-27,BBVA SM Equity,20,
2025-01-28,BBVA SM Equity,20,
2025-01-29,BBVA SM Equity,20,0.288409
2025-01-30,BBVA SM Equity,20,0.257246
2025-01-31,BBVA SM Equity,20,0.256251
2025-02-03,BBVA SM Equity,20,0.255361
2025-02-04,BBVA SM Equity,20,0.250331
2025-02-05,BBVA SM Equity,20,0.252357
2025-02-06,BBVA SM Equity,20,0.251624
2025-02-07,BBVA SM Equity,20,0.25192
2025-02-10,BBVA SM Equity,20,0.251993
2025-02-11,BBVA SM Equity,20,0.253621
2025-02-12,BBVA SM Equity,20,0.257049
2025-02-13,BBVA SM Equity,20,0.252027
2025-02-14,BBVA SM Equity,20,0.242201
2025-02-17,BBVA SM Equity,20,0.242697
2025-02-18,BBVA SM Equity,20,0.21606
2025-02-19,BBVA SM Equity,20,0.214834
2025-02-20,BBVA SM Equity,20,0.218209
2025-02-21,BBVA SM Equity,20,0.217526
2025-02-24,BBVA SM Equity,20,0.243922
2025-02-25,BBVA SM Equity,20,0.2171
2025-02-26,BBVA SM Equity,20,0.205482
2025-02-27,BBVA SM Equity,20,0.215358
2025-02-28,BBVA SM Equity,20,0.220226
2025-03-03,BBVA SM Equity,20,0.227554
2025-03-04,BBVA SM Equity,20,0.223515
2025-03-05,BBVA SM Equity,20,0.217387
2025-03-06,BBVA SM Equity,20,0.232921
2025-03-07,BBVA SM Equity,20,0.231037
2025-03-10,BBVA SM Equity,20,0.234879
2025-03-11,BBVA SM Equity,20,0.239746
2025-03-12,BBVA SM Equity,20,0.270756
2025-03-13,BBVA SM Equity,20,0.267822
2025-03-14,BBVA SM Equity,20,0.270967
2025-03-17,BBVA SM Equity,20,0.268646
2025-03-18,BBVA SM Equity,20,0.250836
2025-03-19,BBVA SM Equity,20,0.244612
2025-03-20,BBVA SM Equity,20,0.244354
2025-03-21,BBVA SM Equity,20,0.25396
2025-03-24,BBVA SM Equity,20,0.240114
2025-03-25,BBVA SM Equity,20,0.240731
2025-03-26,BBVA SM Equity,20,0.242394
2025-03-27,BBVA SM Equity,20,0.250753
2025-03-28,BBVA SM Equity,20,0.24571
2025-03-31,BBVA SM Equity,20,0.242312
2025-04-01,BBVA SM Equity,20,0.242935
2025-04-02,BBVA SM Equity,20,0.243103
2025-04-03,BBVA SM Equity,20,0.241214
2025-04-04,BBVA SM Equity,20,0.243229
2025-04-07,BBVA SM Equity,20,0.243648
2025-04-08,BBVA SM Equity,20,0.238031
2025-04-09,BBVA SM Equity,20,0.199681
2025-04-10,BBVA SM Equity,20,0.202125
2025-04-11,BBVA SM Equity,20,0.197413
2025-04-14,BBVA SM Equity,20,0.206893
2025-04-15,BBVA SM Equity,20,0.201611
2025-04-16,BBVA SM Equity,20,0.250173
2025-04-17,BBVA SM Equity,20,0.250915
2025-04-18,BBVA SM Equity,20,0.244344
2025-04-21,BBVA SM Equity,20,0.251565
2025-04-22,BBVA SM Equity,20,0.265681
2025-04-23,BBVA SM Equity,20,0.279012
2025-04-24,BBVA SM Equity,20,0.262105
2025-04-25,BBVA SM Equity,20,0.26055
2025-04-28,BBVA SM Equity,20,0.271089
2025-04-29,BBVA SM Equity,20,0.294034
2025-04-30,BBVA SM Equity,20,0.303751
2025-05-01,BBVA SM Equity,20,0.296635
2025-05-02,BBVA SM Equity,20,0.295124
2025-05-05,BBVA SM Equity,20,0.292534
2025-05-06,BBVA SM Equity,20,0.291892
2025-05-07,BBVA SM Equity,20,0.291932
2025-05-08,BBVA SM Equity,20,0.29758
2025-05-09,BBVA SM Equity,20,0.297821
2025-05-12,BBVA SM Equity,20,0.285831
2025-05-13,BBVA SM Equity,20,0.290925
2025-05-14,BBVA SM Equity,20,0.258282
2025-05-15,BBVA SM Equity,20,0.256643
2025-05-16,BBVA SM Equity,20,0.254712
2025-05-19,BBVA SM Equity,20,0.249563
2025-05-20,BBVA SM Equity,20,0.218328
2025-05-21,BBVA SM Equity,20,0.22554
2025-05-22,BBVA SM Equity,20,0.239595
2025-05-23,BBVA SM Equity,20,0.246802
2025-05-26,BBVA SM Equity,20,0.244488
2025-05-27,BBVA SM Equity,20,0.213654
2025-05-28,BBVA SM Equity,20,0.200412
2025-05-29,BBVA SM Equity,20,0.247737
2025-05-30,BBVA SM Equity,20,0.247211
2025-06-02,BBVA SM Equity,20,0.248628
2025-06-03,BBVA SM Equity,20,0.245537
2025-06-04,BBVA SM Equity,20,0.254201
2025-06-05,BBVA SM Equity,20,0.253084
2025-06-06,BBVA SM Equity,20,0.253896
2025-06-09,BBVA SM Equity,20,0.269498
2025-06-10,BBVA SM Equity,20,0.259508
2025-06-11,BBVA SM Equity,20,0.251897
2025-06-12,BBVA SM Equity,20,0.25417
2025-06-13,BBVA SM Equity,20,0.267227
2025-06-16,BBVA SM Equity,20,0.239584
2025-06-17,BBVA SM Equity,20,0.242827
2025-06-18,BBVA SM Equity,20,0.242414
2025-06-19,BBVA SM Equity,20,0.242179
2025-06-20,BBVA SM Equity,20,0.242052
2025-06-23,BBVA SM Equity,20,0.254556
2025-06-24,BBVA SM Equity,20,0.246497
2025-06-25,BBVA SM Equity,20,0.249929
2025-06-26,BBVA SM Equity,20,0.224683
2025-06-27,BBVA SM Equity,20,0.224599
2025-06-30,BBVA SM Equity,20,0.21881
2025-07-01,BBVA SM Equity,20,0.234822
2025-07-02,BBVA SM Equity,20,0.232553
2025-07-03,BBVA SM Equity,20,0.21879
2025-07-04,BBVA SM Equity,20,0.237399
2025-07-07,BBVA SM Equity,20,0.226248
2025-07-08,BBVA SM Equity,20,0.225851
2025-07-09,BBVA SM Equity,20,0.226039
2025-07-10,BBVA SM Equity,20,0.249724
