date,ticker,window,realized_vol
2025-01-02,BNP FP Equity,20,
2025-01-03,BNP FP Equity,20,
2025-01-06,BNP FP Equity,20,
2025-01-07,BNP FP Equity,20,
2025-01-08,BNP FP Equity,20,
2025-01-09,BNP FP Equity,20,
2025-01-10,BNP FP Equity,20,
2025-01-13,BNP FP Equity,20,
2025-01-14,BNP FP Equity,20,
2025-01-15,BNP FP Equity,20,
2025-01-16,BNP FP Equity,20,
2025-01-17,BNP FP Equity,20,
2025-01-20,BNP FP Equity,20,
2025-01-21,BNP FP Equity,20,
2025-01-22,BNP FP Equity,20,
2025-01-23,BNP FP Equity,20,
2025-01-24,BNP FP Equity,20,
2025-01-27,BNP FP Equity,20,
2025-01-28,BNP FP Equity,20,
2025-01-29,BNP FP Equity,20,0.240248
2025-01-30,BNP FP Equity,20,0.236519
2025-01-31,BNP FP Equity,20,0.23682
2025-02-03,BNP FP Equity,20,0.227463
2025-02-04,BNP FP Equity,20,0.214915
2025-02-05,BNP FP Equity,20,0.214897
2025-02-06,BNP FP Equity,20,0.228268
2025-02-07,BNP FP Equity,20,0.228613
2025-02-10,BNP FP Equity,20,0.228667
2025-02-11,BNP FP Equity,20,0.231991
2025-02-12,BNP FP Equity,20,0.246265
2025-02-13,BNP FP Equity,20,0.247171
2025-02-14,BNP FP Equity,20,0.214599
2025-02-17,BNP FP Equity,20,0.204051
2025-02-18,BNP FP Equity,20,0.208721
2025-02-19,BNP FP Equity,20,0.206783
2025-02-20,BNP FP Equity,20,0.210785
2025-02-21,BNP FP Equity,20,0.206741
2025-02-24,BNP FP Equity,20,0.207594
2025-02-25,BNP FP Equity,20,0.214831
2025-02-26,BNP FP Equity,20,0.233624
2025-02-27,BNP FP Equity,20,0.232907
2025-02-28,BNP FP Equity,20,0.233169
2025-03-03,BNP FP Equity,20,0.226928
2025-03-04,BNP FP Equity,20,0.222229
2025-03-05,BNP FP Equity,20,0.226741
2025-03-06,BNP FP Equity,20,0.206472
2025-03-07,BNP FP Equity,20,0.219922
2025-03-10,BNP FP Equity,20,0.236722
2025-03-11,BNP FP Equity,20,0.235119
2025-03-12,BNP FP Equity,20,0.213442
2025-03-13,BNP FP Equity,20,0.212982
2025-03-14,BNP FP Equity,20,0.208697
2025-03-17,BNP FP Equity,20,0.206777
2025-03-18,BNP FP Equity,20,0.197791
2025-03-19,BNP FP Equity,20,0.203965
2025-03-20,BNP FP Equity,20,0.203528
2025-03-21,BNP FP Equity,20,0.205135
2025-03-24,BNP FP Equity,20,0.229197
2025-03-25,BNP FP Equity,20,0.257219
2025-03-26,BNP FP Equity,20,0.242977
2025-03-27,BNP FP Equity,20,0.238963
2025-03-28,BNP FP Equity,20,0.260531
2025-03-31,BNP FP Equity,20,0.259135
2025-04-01,BNP FP Equity,20,0.260155
2025-04-02,BNP FP Equity,20,0.261284
2025-04-03,BNP FP Equity,20,0.260989
2025-04-04,BNP FP Equity,20,0.253678
2025-04-07,BNP FP Equity,20,0.231186
2025-04-08,BNP FP Equity,20,0.22998
2025-04-09,BNP FP Equity,20,0.23222
2025-04-10,BNP FP Equity,20,0.233026
2025-04-11,BNP FP Equity,20,0.252441
2025-04-14,BNP FP Equity,20,0.248482
2025-04-15,BNP FP Equity,20,0.251676
2025-04-16,BNP FP Equity,20,0.250168
2025-04-17,BNP FP Equity,20,0.254191
2025-04-18,BNP FP Equity,20,0.250069
2025-04-21,BNP FP Equity,20,0.229778
2025-04-22,BNP FP Equity,20,0.191973
2025-04-23,BNP FP Equity,20,0.178736
2025-04-24,BNP FP Equity,20,0.17908
2025-04-25,BNP FP Equity,20,0.140905
2025-04-28,BNP FP Equity,20,0.142446
2025-04-29,BNP FP Equity,20,0.150461
2025-04-30,BNP FP Equity,20,0.161094
2025-05-01,BNP FP Equity,20,0.160322
2025-05-02,BNP FP Equity,20,0.163425
2025-05-05,BNP FP Equity,20,0.164611
2025-05-06,BNP FP Equity,20,0.163573
2025-05-07,BNP FP Equity,20,0.16347
2025-05-08,BNP FP Equity,20,0.166699
2025-05-09,BNP FP Equity,20,0.154054
2025-05-12,BNP FP Equity,20,0.159196
2025-05-13,BNP FP Equity,20,0.177604
2025-05-14,BNP FP Equity,20,0.180161
2025-05-15,BNP FP Equity,20,0.185659
2025-05-16,BNP FP Equity,20,0.184213
2025-05-19,BNP FP Equity,20,0.19405
2025-05-20,BNP FP Equity,20,0.192625
2025-05-21,BNP FP Equity,20,0.204371
2025-05-22,BNP FP Equity,20,0.205394
2025-05-23,BNP FP Equity,20,0.224622
2025-05-26,BNP FP Equity,20,0.218216
2025-05-27,BNP FP Equity,20,0.2204
2025-05-28,BNP FP Equity,20,0.213379
2025-05-29,BNP FP Equity,20,0.24151
