date,ticker,window,realized_vol
2025-01-02,DBK GY Equity,20,
2025-01-03,DBK GY Equity,20,
2025-01-06,DBK GY Equity,20,
2025-01-07,DBK GY Equity,20,
2025-01-08,DBK GY Equity,20,
2025-01-09,DBK GY Equity,20,
2025-01-10,DBK GY Equity,20,
2025-01-13,DBK GY Equity,20,
2025-01-14,DBK GY Equity,20,
2025-01-15,DBK GY Equity,20,
2025-01-16,DBK GY Equity,20,
2025-01-17,DBK GY Equity,20,
2025-01-20,DBK GY Equity,20,
2025-01-21,DBK GY Equity,20,
2025-01-22,DBK GY Equity,20,
2025-01-23,DBK GY Equity,20,
2025-01-24,DBK GY Equity,20,
2025-01-27,DBK GY Equity,20,
2025-01-28,DBK GY Equity,20,
2025-01-29,DBK GY Equity,20,0.286903
2025-01-30,DBK GY Equity,20,0.282599
2025-01-31,DBK GY Equity,20,0.27784
2025-02-03,DBK GY Equity,20,0.266344
2025-02-04,DBK GY Equity,20,0.258621
2025-02-05,DBK GY Equity,20,0.25667
2025-02-06,DBK GY Equity,20,0.254654
2025-02-07,DBK GY Equity,20,0.258647
2025-02-10,DBK GY Equity,20,0.227869
2025-02-11,DBK GY Equity,20,0.232945
2025-02-12,DBK GY Equity,20,0.24247
2025-02-13,DBK GY Equity,20,0.238123
2025-02-14,DBK GY Equity,20,0.215743
2025-02-17,DBK GY Equity,20,0.214575
2025-02-18,DBK GY Equity,20,0.18128
2025-02-19,DBK GY Equity,20,0.181118
2025-02-20,DBK GY Equity,20,0.181287
2025-02-21,DBK GY Equity,20,0.168002
2025-02-24,DBK GY Equity,20,0.165982
2025-02-25,DBK GY Equity,20,0.165768
2025-02-26,DBK GY Equity,20,0.169822
2025-02-27,DBK GY Equity,20,0.163633
2025-02-28,DBK GY Equity,20,0.181999
2025-03-03,DBK GY Equity,20,0.180158
2025-03-04,DBK GY Equity,20,0.177448
2025-03-05,DBK GY Equity,20,0.177323
2025-03-06,DBK GY Equity,20,0.182095
2025-03-07,DBK GY Equity,20,0.183621
2025-03-10,DBK GY Equity,20,0.229765
2025-03-11,DBK GY Equity,20,0.221451
2025-03-12,DBK GY Equity,20,0.214785
2025-03-13,DBK GY Equity,20,0.223796
2025-03-14,DBK GY Equity,20,0.245856
2025-03-17,DBK GY Equity,20,0.24689
2025-03-18,DBK GY Equity,20,0.240862
2025-03-19,DBK GY Equity,20,0.241917
2025-03-20,DBK GY Equity,20,0.243125
2025-03-21,DBK GY Equity,20,0.241677
2025-03-24,DBK GY Equity,20,0.250999
2025-03-25,DBK GY Equity,20,0.251163
2025-03-26,DBK GY Equity,20,0.25743
2025-03-27,DBK GY Equity,20,0.26316
2025-03-28,DBK GY Equity,20,0.248345
2025-03-31,DBK GY Equity,20,0.254776
2025-04-01,DBK GY Equity,20,0.254726
2025-04-02,DBK GY Equity,20,0.264683
2025-04-03,DBK GY Equity,20,0.266908
2025-04-04,DBK GY Equity,20,0.262889
2025-04-07,DBK GY Equity,20,0.214235
2025-04-08,DBK GY Equity,20,0.214813
