date,ticker,window,realized_vol
2025-01-02,SAN SQ Equity,20,
2025-01-03,SAN SQ Equity,20,
2025-01-06,SAN SQ Equity,20,
2025-01-07,SAN SQ Equity,20,
2025-01-08,SAN SQ Equity,20,
2025-01-09,SAN SQ Equity,20,
2025-01-10,SAN SQ Equity,20,
2025-01-13,SAN SQ Equity,20,
2025-01-14,SAN SQ Equity,20,
2025-01-15,SAN SQ Equity,20,
2025-01-16,SAN SQ Equity,20,
2025-01-17,SAN SQ Equity,20,
2025-01-20,SAN SQ Equity,20,
2025-01-21,SAN SQ Equity,20,
2025-01-22,SAN SQ Equity,20,
2025-01-23,SAN SQ Equity,20,
2025-01-24,SAN SQ Equity,20,
2025-01-27,SAN SQ Equity,20,
2025-01-28,SAN SQ Equity,20,
2025-01-29,SAN SQ Equity,20,0.157323
2025-01-30,SAN SQ Equity,20,0.157323
2025-01-31,SAN SQ Equity,20,0.159198
2025-02-03,SAN SQ Equity,20,0.157833
2025-02-04,SAN SQ Equity,20,0.154463
2025-02-05,SAN SQ Equity,20,0.150122
2025-02-06,SAN SQ Equity,20,0.151068
2025-02-07,SAN SQ Equity,20,0.14855
2025-02-10,SAN SQ Equity,20,0.139876
2025-02-11,SAN SQ Equity,20,0.142868
2025-02-12,SAN SQ Equity,20,0.142835
2025-02-13,SAN SQ Equity,20,0.140193
2025-02-14,SAN SQ Equity,20,0.144256
2025-02-17,SAN SQ Equity,20,0.136029
2025-02-18,SAN SQ Equity,20,0.134283
2025-02-19,SAN SQ Equity,20,0.150244
2025-02-20,SAN SQ Equity,20,0.153185
2025-02-21,SAN SQ Equity,20,0.153287
2025-02-24,SAN SQ Equity,20,0.160148
2025-02-25,SAN SQ Equity,20,0.160613
2025-02-26,SAN SQ Equity,20,0.134271
2025-02-27,SAN SQ Equity,20,0.133879
2025-02-28,SAN SQ Equity,20,0.133383
2025-03-03,SAN SQ Equity,20,0.134229
2025-03-04,SAN SQ Equity,20,0.137627
2025-03-05,SAN SQ Equity,20,0.14341
2025-03-06,SAN SQ Equity,20,0.158355
2025-03-07,SAN SQ Equity,20,0.159811
2025-03-10,SAN SQ Equity,20,0.168798
2025-03-11,SAN SQ Equity,20,0.172227
2025-03-12,SAN SQ Equity,20,0.168499
2025-03-13,SAN SQ Equity,20,0.176322
2025-03-14,SAN SQ Equity,20,0.177743
2025-03-17,SAN SQ Equity,20,0.176681
2025-03-18,SAN SQ Equity,20,0.202201
2025-03-19,SAN SQ Equity,20,0.197338
2025-03-20,SAN SQ Equity,20,0.18571
2025-03-21,SAN SQ Equity,20,0.194154
2025-03-24,SAN SQ Equity,20,0.192073
2025-03-25,SAN SQ Equity,20,0.208624
2025-03-26,SAN SQ Equity,20,0.208673
2025-03-27,SAN SQ Equity,20,0.208701
2025-03-28,SAN SQ Equity,20,0.220829
2025-03-31,SAN SQ Equity,20,0.233393
2025-04-01,SAN SQ Equity,20,0.234659
2025-04-02,SAN SQ Equity,20,0.233991
2025-04-03,SAN SQ Equity,20,0.225142
2025-04-04,SAN SQ Equity,20,0.221859
2025-04-07,SAN SQ Equity,20,0.217769
2025-04-08,SAN SQ Equity,20,0.214771
2025-04-09,SAN SQ Equity,20,0.209931
2025-04-10,SAN SQ Equity,20,0.211604
2025-04-11,SAN SQ Equity,20,0.219365
2025-04-14,SAN SQ Equity,20,0.219511
2025-04-15,SAN SQ Equity,20,0.199185
2025-04-16,SAN SQ Equity,20,0.203035
2025-04-17,SAN SQ Equity,20,0.200999
2025-04-18,SAN SQ Equity,20,0.187434
2025-04-21,SAN SQ Equity,20,0.188416
2025-04-22,SAN SQ Equity,20,0.17608
2025-04-23,SAN SQ Equity,20,0.174284
2025-04-24,SAN SQ Equity,20,0.193314
2025-04-25,SAN SQ Equity,20,0.181941
2025-04-28,SAN SQ Equity,20,0.164714
2025-04-29,SAN SQ Equity,20,0.16327
2025-04-30,SAN SQ Equity,20,0.179823
2025-05-01,SAN SQ Equity,20,0.175243
2025-05-02,SAN SQ Equity,20,0.176395
2025-05-05,SAN SQ Equity,20,0.17563
2025-05-06,SAN SQ Equity,20,0.187876
2025-05-07,SAN SQ Equity,20,0.187659
2025-05-08,SAN SQ Equity,20,0.182307
2025-05-09,SAN SQ Equity,20,0.175843
