date,ticker,window,realized_vol
2025-01-02,SX7P Index,120,
2025-01-03,SX7P Index,120,
2025-01-06,SX7P Index,120,
2025-01-07,SX7P Index,120,
2025-01-08,SX7P Index,120,
2025-01-09,SX7P Index,120,
2025-01-10,SX7P Index,120,
2025-01-13,SX7P Index,120,
2025-01-14,SX7P Index,120,
2025-01-15,SX7P Index,120,
2025-01-16,SX7P Index,120,
2025-01-17,SX7P Index,120,
2025-01-20,SX7P Index,120,
2025-01-21,SX7P Index,120,
2025-01-22,SX7P Index,120,
2025-01-23,SX7P Index,120,
2025-01-24,SX7P Index,120,
2025-01-27,SX7P Index,120,
2025-01-28,SX7P Index,120,
2025-01-29,SX7P Index,120,
2025-01-30,SX7P Index,120,
2025-01-31,SX7P Index,120,
2025-02-03,SX7P Index,120,
2025-02-04,SX7P Index,120,
2025-02-05,SX7P Index,120,
2025-02-06,SX7P Index,120,
2025-02-07,SX7P Index,120,
2025-02-10,SX7P Index,120,
2025-02-11,SX7P Index,120,
2025-02-12,SX7P Index,120,
2025-02-13,SX7P Index,120,
2025-02-14,SX7P Index,120,
2025-02-17,SX7P Index,120,
2025-02-18,SX7P Index,120,
2025-02-19,SX7P Index,120,
2025-02-20,SX7P Index,120,
2025-02-21,SX7P Index,120,
2025-02-24,SX7P Index,120,
2025-02-25,SX7P Index,120,
2025-02-26,SX7P Index,120,
2025-02-27,SX7P Index,120,
2025-02-28,SX7P Index,120,
2025-03-03,SX7P Index,120,
2025-03-04,SX7P Index,120,
2025-03-05,SX7P Index,120,
2025-03-06,SX7P Index,120,
2025-03-07,SX7P Index,120,
2025-03-10,SX7P Index,120,
2025-03-11,SX7P Index,120,
2025-03-12,SX7P Index,120,
2025-03-13,SX7P Index,120,
2025-03-14,SX7P Index,120,
2025-03-17,SX7P Index,120,
2025-03-18,SX7P Index,120,
2025-03-19,SX7P Index,120,
2025-03-20,SX7P Index,120,
2025-03-21,SX7P Index,120,
2025-03-24,SX7P Index,120,
2025-03-25,SX7P Index,120,
2025-03-26,SX7P Index,120,
2025-03-27,SX7P Index,120,
2025-03-28,SX7P Index,120,
2025-03-31,SX7P Index,120,
2025-04-01,SX7P Index,120,
2025-04-02,SX7P Index,120,
2025-04-03,SX7P Index,120,
2025-04-04,SX7P Index,120,
2025-04-07,SX7P Index,120,
2025-04-08,SX7P Index,120,
2025-04-09,SX7P Index,120,
2025-04-10,SX7P Index,120,
2025-04-11,SX7P Index,120,
2025-04-14,SX7P Index,120,
2025-04-15,SX7P Index,120,
2025-04-16,SX7P Index,120,
2025-04-17,SX7P Index,120,
2025-04-18,SX7P Index,120,
2025-04-21,SX7P Index,120,
2025-04-22,SX7P Index,120,
2025-04-23,SX7P Index,120,
2025-04-24,SX7P Index,120,
2025-04-25,SX7P Index,120,
2025-04-28,SX7P Index,120,
2025-04-29,SX7P Index,120,
2025-04-30,SX7P Index,120,
