date,ticker,window,realized_vol
2025-01-02,UCG IM Equity,20,
2025-01-03,UCG IM Equity,20,
2025-01-06,UCG IM Equity,20,
2025-01-07,UCG IM Equity,20,
2025-01-08,UCG IM Equity,20,
2025-01-09,UCG IM Equity,20,
2025-01-10,UCG IM Equity,20,
2025-01-13,UCG IM Equity,20,
2025-01-14,UCG IM Equity,20,
2025-01-15,UCG IM Equity,20,
2025-01-16,UCG IM Equity,20,
2025-01-17,UCG IM Equity,20,
2025-01-20,UCG IM Equity,20,
2025-01-21,UCG IM Equity,20,
2025-01-22,UCG IM Equity,20,
2025-01-23,UCG IM Equity,20,
2025-01-24,UCG IM Equity,20,
2025-01-27,UCG IM Equity,20,
2025-01-28,UCG IM Equity,20,
2025-01-29,UCG IM Equity,20,0.18372
2025-01-30,UCG IM Equity,20,0.180347
2025-01-31,UCG IM Equity,20,0.173178
2025-02-03,UCG IM Equity,20,0.162954
2025-02-04,UCG IM Equity,20,0.173899
2025-02-05,UCG IM Equity,20,0.174433
2025-02-06,UCG IM Equity,20,0.172844
2025-02-07,UCG IM Equity,20,0.171543
2025-02-10,UCG IM Equity,20,0.181019
2025-02-11,UCG IM Equity,20,0.18405
2025-02-12,UCG IM Equity,20,0.185236
2025-02-13,UCG IM Equity,20,0.178882
2025-02-14,UCG IM Equity,20,0.183343
2025-02-17,UCG IM Equity,20,0.214323
2025-02-18,UCG IM Equity,20,0.217367
2025-02-19,UCG IM Equity,20,0.209759
2025-02-20,UCG IM Equity,20,0.210847
2025-02-21,UCG IM Equity,20,0.213517
2025-02-24,UCG IM Equity,20,0.219822
2025-02-25,UCG IM Equity,20,0.249347
2025-02-26,UCG IM Equity,20,0.250069
2025-02-27,UCG IM Equity,20,0.253214
2025-02-28,UCG IM Equity,20,0.253043
2025-03-03,UCG IM Equity,20,0.263368
2025-03-04,UCG IM Equity,20,0.249332
2025-03-05,UCG IM Equity,20,0.259668
2025-03-06,UCG IM Equity,20,0.275021
2025-03-07,UCG IM Equity,20,0.281638
2025-03-10,UCG IM Equity,20,0.286706
2025-03-11,UCG IM Equity,20,0.279433
