date,ticker,delta,tenor,implied_vol
2025-01-02,ACA FP Equity,50,1Y,0.253276
2025-01-03,ACA FP Equity,50,1Y,0.249672
2025-01-06,ACA FP Equity,50,1Y,0.256089
2025-01-07,ACA FP Equity,50,1Y,0.25979
2025-01-08,ACA FP Equity,50,1Y,0.249394
2025-01-09,ACA FP Equity,50,1Y,0.253547
2025-01-10,ACA FP Equity,50,1Y,0.252986
2025-01-13,ACA FP Equity,50,1Y,0.254973
2025-01-14,ACA FP Equity,50,1Y,0.247873
2025-01-15,ACA FP Equity,50,1Y,0.254652
2025-01-16,ACA FP Equity,50,1Y,0.244899
2025-01-17,ACA FP Equity,50,1Y,0.253695
2025-01-20,ACA FP Equity,50,1Y,0.248869
2025-01-21,ACA FP Equity,50,1Y,0.254539
2025-01-22,ACA FP Equity,50,1Y,0.252245
2025-01-23,ACA FP Equity,50,1Y,0.249205
2025-01-24,ACA FP Equity,50,1Y,0.258449
2025-01-27,ACA FP Equity,50,1Y,0.251124
2025-01-28,ACA FP Equity,50,1Y,0.255556
2025-01-29,ACA FP Equity,50,1Y,0.249135
2025-01-30,ACA FP Equity,50,1Y,0.255318
2025-01-31,ACA FP Equity,50,1Y,0.254928
2025-02-03,ACA FP Equity,50,1Y,0.252293
2025-02-04,ACA FP Equity,50,1Y,0.252329
2025-02-05,ACA FP Equity,50,1Y,0.255689
2025-02-06,ACA FP Equity,50,1Y,0.257269
2025-02-07,ACA FP Equity,50,1Y,0.266574
2025-02-10,ACA FP Equity,50,1Y,0.250707
2025-02-11,ACA FP Equity,50,1Y,0.250207
2025-02-12,ACA FP Equity,50,1Y,0.25598
2025-02-13,ACA FP Equity,50,1Y,0.2574
2025-02-14,ACA FP Equity,50,1Y,0.257661
2025-02-17,ACA FP Equity,50,1Y,0.254332
2025-02-18,ACA FP Equity,50,1Y,0.2594
2025-02-19,ACA FP Equity,50,1Y,0.257448
2025-02-20,ACA FP Equity,50,1Y,0.256029
2025-02-21,ACA FP Equity,50,1Y,0.256165
2025-02-24,ACA FP Equity,50,1Y,0.255226
2025-02-25,ACA FP Equity,50,1Y,0.253537
2025-02-26,ACA FP Equity,50,1Y,0.252135
2025-02-27,ACA FP Equity,50,1Y,0.257898
2025-02-28,ACA FP Equity,50,1Y,0.249016
2025-03-03,ACA FP Equity,50,1Y,0.261346
2025-03-04,ACA FP Equity,50,1Y,0.250153
2025-03-05,ACA FP Equity,50,1Y,0.261305
2025-03-06,ACA FP Equity,50,1Y,0.256445
2025-03-07,ACA FP Equity,50,1Y,0.254746
