date,ticker,delta,tenor,implied_vol
2025-01-02,BBVA SM Equity,50,1Y,0.241287
2025-01-03,BBVA SM Equity,50,1Y,0.244416
2025-01-06,BBVA SM Equity,50,1Y,0.239495
2025-01-07,BBVA SM Equity,50,1Y,0.248381
2025-01-08,BBVA SM Equity,50,1Y,0.243807
2025-01-09,BBVA SM Equity,50,1Y,0.249587
2025-01-10,BBVA SM Equity,50,1Y,0.242059
2025-01-13,BBVA SM Equity,50,1Y,0.249531
2025-01-14,BBVA SM Equity,50,1Y,0.238117
2025-01-15,BBVA SM Equity,50,1Y,0.245314
2025-01-16,BBVA SM Equity,50,1Y,0.243616
2025-01-17,BBVA SM Equity,50,1Y,0.245276
2025-01-20,BBVA SM Equity,50,1Y,0.241651
2025-01-21,BBVA SM Equity,50,1Y,0.252948
2025-01-22,BBVA SM Equity,50,1Y,0.233752
2025-01-23,BBVA SM Equity,50,1Y,0.244215
2025-01-24,BBVA SM Equity,50,1Y,0.24089
2025-01-27,BBVA SM Equity,50,1Y,0.246973
2025-01-28,BBVA SM Equity,50,1Y,0.242194
2025-01-29,BBVA SM Equity,50,1Y,0.242814
2025-01-30,BBVA SM Equity,50,1Y,0.240087
2025-01-31,BBVA SM Equity,50,1Y,0.248137
2025-02-03,BBVA SM Equity,50,1Y,0.239544
2025-02-04,BBVA SM Equity,50,1Y,0.243931
2025-02-05,BBVA SM Equity,50,1Y,0.240894
2025-02-06,BBVA SM Equity,50,1Y,0.234159
2025-02-07,BBVA SM Equity,50,1Y,0.247686
2025-02-10,BBVA SM Equity,50,1Y,0.245107
2025-02-11,BBVA SM Equity,50,1Y,0.24067
2025-02-12,BBVA SM Equity,50,1Y,0.246469
2025-02-13,BBVA SM Equity,50,1Y,0.244116
2025-02-14,BBVA SM Equity,50,1Y,0.242737
2025-02-17,BBVA SM Equity,50,1Y,0.242672
2025-02-18,BBVA SM Equity,50,1Y,0.247584
2025-02-19,BBVA SM Equity,50,1Y,0.253907
2025-02-20,BBVA SM Equity,50,1Y,0.246104
2025-02-21,BBVA SM Equity,50,1Y,0.241878
2025-02-24,BBVA SM Equity,50,1Y,0.244617
2025-02-25,BBVA SM Equity,50,1Y,0.239124
2025-02-26,BBVA SM Equity,50,1Y,0.248244
2025-02-27,BBVA SM Equity,50,1Y,0.239214
2025-02-28,BBVA SM Equity,50,1Y,0.239054
2025-03-03,BBVA SM Equity,50,1Y,0.245391
2025-03-04,BBVA SM Equity,50,1Y,0.239102
2025-03-05,BBVA SM Equity,50,1Y,0.253118
2025-03-06,BBVA SM Equity,50,1Y,0.238381
2025-03-07,BBVA SM Equity,50,1Y,0.245768
2025-03-10,BBVA SM Equity,50,1Y,0.245828
2025-03-11,BBVA SM Equity,50,1Y,0.238891
2025-03-12,BBVA SM Equity,50,1Y,0.249447
2025-03-13,BBVA SM Equity,50,1Y,0.245262
2025-03-14,BBVA SM Equity,50,1Y,0.251233
2025-03-17,BBVA SM Equity,50,1Y,0.237248
2025-03-18,BBVA SM Equity,50,1Y,0.237549
2025-03-19,BBVA SM Equity,50,1Y,0.245482
2025-03-20,BBVA SM Equity,50,1Y,0.248692
2025-03-21,BBVA SM Equity,50,1Y,0.242797
2025-03-24,BBVA SM Equity,50,1Y,0.235094
2025-03-25,BBVA SM Equity,50,1Y,0.252367
2025-03-26,BBVA SM Equity,50,1Y,0.24208
2025-03-27,BBVA SM Equity,50,1Y,0.248711
2025-03-28,BBVA SM Equity,50,1Y,0.241619
2025-03-31,BBVA SM Equity,50,1Y,0.241086
2025-04-01,BBVA SM Equity,50,1Y,0.244661
2025-04-02,BBVA SM Equity,50,1Y,0.247962
2025-04-03,BBVA SM Equity,50,1Y,0.250352
2025-04-04,BBVA SM Equity,50,1Y,0.236539
2025-04-07,BBVA SM Equity,50,1Y,0.242473
2025-04-08,BBVA SM Equity,50,1Y,0.252337
2025-04-09,BBVA SM Equity,50,1Y,0.241802
2025-04-10,BBVA SM Equity,50,1Y,0.238545
2025-04-11,BBVA SM Equity,50,1Y,0.249315
2025-04-14,BBVA SM Equity,50,1Y,0.242849
2025-04-15,BBVA SM Equity,50,1Y,0.241052
2025-04-16,BBVA SM Equity,50,1Y,0.248988
2025-04-17,BBVA SM Equity,50,1Y,0.241547
2025-04-18,BBVA SM Equity,50,1Y,0.239878
2025-04-21,BBVA SM Equity,50,1Y,0.244234
2025-04-22,BBVA SM Equity,50,1Y,0.241036
2025-04-23,BBVA SM Equity,50,1Y,0.247269
2025-04-24,BBVA SM Equity,50,1Y,0.241021
