date,ticker,delta,tenor,implied_vol
2025-01-02,BNP FP Equity,50,1Y,0.272033
2025-01-03,BNP FP Equity,50,1Y,0.27195
2025-01-06,BNP FP Equity,50,1Y,0.272116
2025-01-07,BNP FP Equity,50,1Y,0.276793
2025-01-08,BNP FP Equity,50,1Y,0.278554
2025-01-09,BNP FP Equity,50,1Y,0.268364
2025-01-10,BNP FP Equity,50,1Y,0.272014
2025-01-13,BNP FP Equity,50,1Y,0.272808
2025-01-14,BNP FP Equity,50,1Y,0.272941
2025-01-15,BNP FP Equity,50,1Y,0.278153
2025-01-16,BNP FP Equity,50,1Y,0.271851
2025-01-17,BNP FP Equity,50,1Y,0.279152
2025-01-20,BNP FP Equity,50,1Y,0.266309
2025-01-21,BNP FP Equity,50,1Y,0.279817
2025-01-22,BNP FP Equity,50,1Y,0.26928
2025-01-23,BNP FP Equity,50,1Y,0.27586
2025-01-24,BNP FP Equity,50,1Y,0.277407
2025-01-27,BNP FP Equity,50,1Y,0.262792
2025-01-28,BNP FP Equity,50,1Y,0.275055
2025-01-29,BNP FP Equity,50,1Y,0.277133
2025-01-30,BNP FP Equity,50,1Y,0.284416
2025-01-31,BNP FP Equity,50,1Y,0.272623
2025-02-03,BNP FP Equity,50,1Y,0.27765
2025-02-04,BNP FP Equity,50,1Y,0.268391
2025-02-05,BNP FP Equity,50,1Y,0.277721
2025-02-06,BNP FP Equity,50,1Y,0.282094
2025-02-07,BNP FP Equity,50,1Y,0.280524
2025-02-10,BNP FP Equity,50,1Y,0.27218
2025-02-11,BNP FP Equity,50,1Y,0.264532
2025-02-12,BNP FP Equity,50,1Y,0.277618
2025-02-13,BNP FP Equity,50,1Y,0.28848
2025-02-14,BNP FP Equity,50,1Y,0.276709
2025-02-17,BNP FP Equity,50,1Y,0.280156
2025-02-18,BNP FP Equity,50,1Y,0.277213
2025-02-19,BNP FP Equity,50,1Y,0.271402
2025-02-20,BNP FP Equity,50,1Y,0.279994
2025-02-21,BNP FP Equity,50,1Y,0.265299
2025-02-24,BNP FP Equity,50,1Y,0.275506
2025-02-25,BNP FP Equity,50,1Y,0.27595
2025-02-26,BNP FP Equity,50,1Y,0.278462
2025-02-27,BNP FP Equity,50,1Y,0.274277
2025-02-28,BNP FP Equity,50,1Y,0.272385
2025-03-03,BNP FP Equity,50,1Y,0.27171
2025-03-04,BNP FP Equity,50,1Y,0.265526
2025-03-05,BNP FP Equity,50,1Y,0.275749
2025-03-06,BNP FP Equity,50,1Y,0.273049
2025-03-07,BNP FP Equity,50,1Y,0.270135
2025-03-10,BNP FP Equity,50,1Y,0.269563
2025-03-11,BNP FP Equity,50,1Y,0.270259
2025-03-12,BNP FP Equity,50,1Y,0.271253
2025-03-13,BNP FP Equity,50,1Y,0.267699
2025-03-14,BNP FP Equity,50,1Y,0.268111
2025-03-17,BNP FP Equity,50,1Y,0.272838
2025-03-18,BNP FP Equity,50,1Y,0.275029
2025-03-19,BNP FP Equity,50,1Y,0.28014
2025-03-20,BNP FP Equity,50,1Y,0.267229
2025-03-21,BNP FP Equity,50,1Y,0.268737
2025-03-24,BNP FP Equity,50,1Y,0.280059
2025-03-25,BNP FP Equity,50,1Y,0.278835
2025-03-26,BNP FP Equity,50,1Y,0.273842
2025-03-27,BNP FP Equity,50,1Y,0.278237
2025-03-28,BNP FP Equity,50,1Y,0.275042
2025-03-31,BNP FP Equity,50,1Y,0.267428
2025-04-01,BNP FP Equity,50,1Y,0.269341
2025-04-02,BNP FP Equity,50,1Y,0.273738
2025-04-03,BNP FP Equity,50,1Y,0.272876
2025-04-04,BNP FP Equity,50,1Y,0.268247
2025-04-07,BNP FP Equity,50,1Y,0.271329
2025-04-08,BNP FP Equity,50,1Y,0.278244
2025-04-09,BNP FP Equity,50,1Y,0.275844
2025-04-10,BNP FP Equity,50,1Y,0.270693
2025-04-11,BNP FP Equity,50,1Y,0.28188
2025-04-14,BNP FP Equity,50,1Y,0.27396
2025-04-15,BNP FP Equity,50,1Y,0.264845
2025-04-16,BNP FP Equity,50,1Y,0.273714
2025-04-17,BNP FP Equity,50,1Y,0.276233
2025-04-18,BNP FP Equity,50,1Y,0.269498
2025-04-21,BNP FP Equity,50,1Y,0.26365
2025-04-22,BNP FP Equity,50,1Y,0.270362
2025-04-23,BNP FP Equity,50,1Y,0.278697
2025-04-24,BNP FP Equity,50,1Y,0.278017
2025-04-25,BNP FP Equity,50,1Y,0.262831
2025-04-28,BNP FP Equity,50,1Y,0.28327
2025-04-29,BNP FP Equity,50,1Y,0.267918
2025-04-30,BNP FP Equity,50,1Y,0.277022
2025-05-01,BNP FP Equity,50,1Y,0.278923
2025-05-02,BNP FP Equity,50,1Y,0.275418
2025-05-05,BNP FP Equity,50,1Y,0.273045
2025-05-06,BNP FP Equity,50,1Y,0.270942
2025-05-07,BNP FP Equity,50,1Y,0.275255
2025-05-08,BNP FP Equity,50,1Y,0.26852
2025-05-09,BNP FP Equity,50,1Y,0.264598
2025-05-12,BNP FP Equity,50,1Y,0.28395
2025-05-13,BNP FP Equity,50,1Y,0.281073
2025-05-14,BNP FP Equity,50,1Y,0.278746
2025-05-15,BNP FP Equity,50,1Y,0.2724
2025-05-16,BNP FP Equity,50,1Y,0.280504
2025-05-19,BNP FP Equity,50,1Y,0.279731
2025-05-20,BNP FP Equity,50,1Y,0.283449
2025-05-21,BNP FP Equity,50,1Y,0.279721
2025-05-22,BNP FP Equity,50,1Y,0.26766
2025-05-23,BNP FP Equity,50,1Y,0.275855
2025-05-26,BNP FP Equity,50,1Y,0.262481
2025-05-27,BNP FP Equity,50,1Y,0.271371
2025-05-28,BNP FP Equity,50,1Y,0.2753
2025-05-29,BNP FP Equity,50,1Y,0.2729
2025-05-30,BNP FP Equity,50,1Y,0.272661
2025-06-02,BNP FP Equity,50,1Y,0.271697
2025-06-03,BNP FP Equity,50,1Y,0.278949
2025-06-04,BNP FP Equity,50,1Y,0.277027
2025-06-05,BNP FP Equity,50,1Y,0.273616
2025-06-06,BNP FP Equity,50,1Y,0.27883
2025-06-09,BNP FP Equity,50,1Y,0.270613
2025-06-10,BNP FP Equity,50,1Y,0.270666
2025-06-11,BNP FP Equity,50,1Y,0.273976
2025-06-12,BNP FP Equity,50,1Y,0.268924
2025-06-13,BNP FP Equity,50,1Y,0.274404
2025-06-16,BNP FP Equity,50,1Y,0.269349
2025-06-17,BNP FP Equity,50,1Y,0.274293
2025-06-18,BNP FP Equity,50,1Y,0.277629
2025-06-19,BNP FP Equity,50,1Y,0.268243
2025-06-20,BNP FP Equity,50,1Y,0.274951
2025-06-23,BNP FP Equity,50,1Y,0.267689
2025-06-24,BNP FP Equity,50,1Y,0.274081
2025-06-25,BNP FP Equity,50,1Y,0.27219
2025-06-26,BNP FP Equity,50,1Y,0.278994
2025-06-27,BNP FP Equity,50,1Y,0.288053
2025-06-30,BNP FP Equity,50,1Y,0.275158
2025-07-01,BNP FP Equity,50,1Y,0.27528
2025-07-02,BNP FP Equity,50,1Y,0.27635
2025-07-03,BNP FP Equity,50,1Y,0.271677
2025-07-04,BNP FP Equity,50,1Y,0.277067
2025-07-07,BNP FP Equity,50,1Y,0.272865
2025-07-08,BNP FP Equity,50,1Y,0.277042
2025-07-09,BNP FP Equity,50,1Y,0.280507
2025-07-10,BNP FP Equity,50,1Y,0.275173
2025-07-11,BNP FP Equity,50,1Y,0.271635
2025-07-14,BNP FP Equity,50,1Y,0.268212
2025-07-15,BNP FP Equity,50,1Y,0.269367
2025-07-16,BNP FP Equity,50,1Y,0.268152
2025-07-17,BNP FP Equity,50,1Y,0.274185
2025-07-18,BNP FP Equity,50,1Y,0.269586
