date,ticker,delta,tenor,implied_vol
2025-01-02,DBK GY Equity,50,1Y,
2025-01-03,DBK GY Equity,50,1Y,0.32283
2025-01-06,DBK GY Equity,50,1Y,0.316205
2025-01-07,DBK GY Equity,50,1Y,0.317322
2025-01-08,DBK GY Equity,50,1Y,0.311508
2025-01-09,DBK GY Equity,50,1Y,0.310094
2025-01-10,DBK GY Equity,50,1Y,0.305693
2025-01-13,DBK GY Equity,50,1Y,0.320863
2025-01-14,DBK GY Equity,50,1Y,0.314481
2025-01-15,DBK GY Equity,50,1Y,0.312355
2025-01-16,DBK GY Equity,50,1Y,0.309869
2025-01-17,DBK GY Equity,50,1Y,0.310135
2025-01-20,DBK GY Equity,50,1Y,0.310736
2025-01-21,DBK GY Equity,50,1Y,0.312204
2025-01-22,DBK GY Equity,50,1Y,0.313883
2025-01-23,DBK GY Equity,50,1Y,0.317505
2025-01-24,DBK GY Equity,50,1Y,0.330203
2025-01-27,DBK GY Equity,50,1Y,0.315803
2025-01-28,DBK GY Equity,50,1Y,0.31441
2025-01-29,DBK GY Equity,50,1Y,0.312348
2025-01-30,DBK GY Equity,50,1Y,0.30616
2025-01-31,DBK GY Equity,50,1Y,0.308513
2025-02-03,DBK GY Equity,50,1Y,0.31601
2025-02-04,DBK GY Equity,50,1Y,0.316057
2025-02-05,DBK GY Equity,50,1Y,0.313741
2025-02-06,DBK GY Equity,50,1Y,0.313104
2025-02-07,DBK GY Equity,50,1Y,0.319887
2025-02-10,DBK GY Equity,50,1Y,0.316472
2025-02-11,DBK GY Equity,50,1Y,0.318497
2025-02-12,DBK GY Equity,50,1Y,0.309231
2025-02-13,DBK GY Equity,50,1Y,0.316119
2025-02-14,DBK GY Equity,50,1Y,0.308137
2025-02-17,DBK GY Equity,50,1Y,0.320108
2025-02-18,DBK GY Equity,50,1Y,0.319663
2025-02-19,DBK GY Equity,50,1Y,0.317407
2025-02-20,DBK GY Equity,50,1Y,0.309044
2025-02-21,DBK GY Equity,50,1Y,0.312324
2025-02-24,DBK GY Equity,50,1Y,
2025-02-25,DBK GY Equity,50,1Y,0.314477
2025-02-26,DBK GY Equity,50,1Y,0.310764
2025-02-27,DBK GY Equity,50,1Y,0.313074
2025-02-28,DBK GY Equity,50,1Y,0.312128
2025-03-03,DBK GY Equity,50,1Y,0.319388
2025-03-04,DBK GY Equity,50,1Y,0.311661
2025-03-05,DBK GY Equity,50,1Y,0.314707
2025-03-06,DBK GY Equity,50,1Y,0.317541
2025-03-07,DBK GY Equity,50,1Y,0.312915
2025-03-10,DBK GY Equity,50,1Y,0.319859
2025-03-11,DBK GY Equity,50,1Y,0.31122
2025-03-12,DBK GY Equity,50,1Y,0.321614
2025-03-13,DBK GY Equity,50,1Y,0.313569
2025-03-14,DBK GY Equity,50,1Y,0.313663
2025-03-17,DBK GY Equity,50,1Y,0.315103
2025-03-18,DBK GY Equity,50,1Y,0.308095
2025-03-19,DBK GY Equity,50,1Y,0.313848
2025-03-20,DBK GY Equity,50,1Y,0.314987
2025-03-21,DBK GY Equity,50,1Y,0.304918
2025-03-24,DBK GY Equity,50,1Y,0.311494
2025-03-25,DBK GY Equity,50,1Y,0.315345
2025-03-26,DBK GY Equity,50,1Y,0.312454
2025-03-27,DBK GY Equity,50,1Y,0.308105
2025-03-28,DBK GY Equity,50,1Y,0.315137
2025-03-31,DBK GY Equity,50,1Y,0.312093
2025-04-01,DBK GY Equity,50,1Y,0.317267
2025-04-02,DBK GY Equity,50,1Y,0.312301
2025-04-03,DBK GY Equity,50,1Y,0.313354
2025-04-04,DBK GY Equity,50,1Y,0.31132
2025-04-07,DBK GY Equity,50,1Y,0.314217
2025-04-08,DBK GY Equity,50,1Y,0.31948
2025-04-09,DBK GY Equity,50,1Y,0.315741
2025-04-10,DBK GY Equity,50,1Y,0.311598
2025-04-11,DBK GY Equity,50,1Y,0.314054
2025-04-14,DBK GY Equity,50,1Y,0.313454
2025-04-15,DBK GY Equity,50,1Y,0.312647
2025-04-16,DBK GY Equity,50,1Y,
2025-04-17,DBK GY Equity,50,1Y,0.310548
2025-04-18,DBK GY Equity,50,1Y,0.315109
2025-04-21,DBK GY Equity,50,1Y,0.322381
2025-04-22,DBK GY Equity,50,1Y,0.313474
2025-04-23,DBK GY Equity,50,1Y,0.321025
2025-04-24,DBK GY Equity,50,1Y,0.31573
2025-04-25,DBK GY Equity,50,1Y,0.301301
2025-04-28,DBK GY Equity,50,1Y,0.312461
2025-04-29,DBK GY Equity,50,1Y,0.309613
2025-04-30,DBK GY Equity,50,1Y,0.320195
2025-05-01,DBK GY Equity,50,1Y,0.31373
2025-05-02,DBK GY Equity,50,1Y,0.308423
2025-05-05,DBK GY Equity,50,1Y,0.3117
2025-05-06,DBK GY Equity,50,1Y,0.318134
2025-05-07,DBK GY Equity,50,1Y,0.313294
2025-05-08,DBK GY Equity,50,1Y,0.31038
2025-05-09,DBK GY Equity,50,1Y,0.307615
2025-05-12,DBK GY Equity,50,1Y,0.311765
2025-05-13,DBK GY Equity,50,1Y,0.318681
2025-05-14,DBK GY Equity,50,1Y,0.320388
2025-05-15,DBK GY Equity,50,1Y,0.316192
2025-05-16,DBK GY Equity,50,1Y,0.315658
2025-05-19,DBK GY Equity,50,1Y,0.316456
2025-05-20,DBK GY Equity,50,1Y,0.323119
2025-05-21,DBK GY Equity,50,1Y,0.324467
2025-05-22,DBK GY Equity,50,1Y,0.317266
2025-05-23,DBK GY Equity,50,1Y,0.313024
2025-05-26,DBK GY Equity,50,1Y,0.315742
2025-05-27,DBK GY Equity,50,1Y,0.320238
2025-05-28,DBK GY Equity,50,1Y,0.314789
2025-05-29,DBK GY Equity,50,1Y,0.316467
2025-05-30,DBK GY Equity,50,1Y,0.310756
2025-06-02,DBK GY Equity,50,1Y,0.307094
2025-06-03,DBK GY Equity,50,1Y,0.309426
2025-06-04,DBK GY Equity,50,1Y,0.3042
2025-06-05,DBK GY Equity,50,1Y,0.313026
2025-06-06,DBK GY Equity,50,1Y,0.313323
2025-06-09,DBK GY Equity,50,1Y,0.307126
2025-06-10,DBK GY Equity,50,1Y,0.315975
2025-06-11,DBK GY Equity,50,1Y,0.315164
2025-06-12,DBK GY Equity,50,1Y,0.314826
2025-06-13,DBK GY Equity,50,1Y,0.319438
2025-06-16,DBK GY Equity,50,1Y,0.322374
2025-06-17,DBK GY Equity,50,1Y,0.310981
2025-06-18,DBK GY Equity,50,1Y,0.317378
2025-06-19,DBK GY Equity,50,1Y,0.315172
2025-06-20,DBK GY Equity,50,1Y,0.316753
2025-06-23,DBK GY Equity,50,1Y,0.315092
2025-06-24,DBK GY Equity,50,1Y,0.319775
2025-06-25,DBK GY Equity,50,1Y,0.313764
2025-06-26,DBK GY Equity,50,1Y,0.310145
2025-06-27,DBK GY Equity,50,1Y,0.315096
2025-06-30,DBK GY Equity,50,1Y,0.315124
2025-07-01,DBK GY Equity,50,1Y,0.310986
2025-07-02,DBK GY Equity,50,1Y,0.309134
2025-07-03,DBK GY Equity,50,1Y,0.316756
2025-07-04,DBK GY Equity,50,1Y,0.316781
2025-07-07,DBK GY Equity,50,1Y,0.31621
2025-07-08,DBK GY Equity,50,1Y,0.308709
2025-07-09,DBK GY Equity,50,1Y,0.312168
