date,ticker,delta,tenor,implied_vol
2025-01-02,SAN SQ Equity,50,1Y,0.29419
2025-01-03,SAN SQ Equity,50,1Y,0.291329
2025-01-06,SAN SQ Equity,50,1Y,0.28834
2025-01-07,SAN SQ Equity,50,1Y,0.297152
2025-01-08,SAN SQ Equity,50,1Y,0.288957
2025-01-09,SAN SQ Equity,50,1Y,0.285359
2025-01-10,SAN SQ Equity,50,1Y,0.289276
2025-01-13,SAN SQ Equity,50,1Y,0.289253
2025-01-14,SAN SQ Equity,50,1Y,0.290395
2025-01-15,SAN SQ Equity,50,1Y,0.295336
2025-01-16,SAN SQ Equity,50,1Y,0.293529
2025-01-17,SAN SQ Equity,50,1Y,0.29871
2025-01-20,SAN SQ Equity,50,1Y,0.290092
2025-01-21,SAN SQ Equity,50,1Y,0.287134
2025-01-22,SAN SQ Equity,50,1Y,0.289443
2025-01-23,SAN SQ Equity,50,1Y,0.289036
2025-01-24,SAN SQ Equity,50,1Y,0.292295
2025-01-27,SAN SQ Equity,50,1Y,0.294409
2025-01-28,SAN SQ Equity,50,1Y,0.294703
2025-01-29,SAN SQ Equity,50,1Y,0.290378
2025-01-30,SAN SQ Equity,50,1Y,0.299493
2025-01-31,SAN SQ Equity,50,1Y,0.290582
2025-02-03,SAN SQ Equity,50,1Y,0.296185
2025-02-04,SAN SQ Equity,50,1Y,0.292253
2025-02-05,SAN SQ Equity,50,1Y,0.293853
2025-02-06,SAN SQ Equity,50,1Y,0.292493
2025-02-07,SAN SQ Equity,50,1Y,0.304401
2025-02-10,SAN SQ Equity,50,1Y,0.294544
2025-02-11,SAN SQ Equity,50,1Y,0.291818
2025-02-12,SAN SQ Equity,50,1Y,0.294305
2025-02-13,SAN SQ Equity,50,1Y,0.290016
2025-02-14,SAN SQ Equity,50,1Y,0.291229
2025-02-17,SAN SQ Equity,50,1Y,0.29265
2025-02-18,SAN SQ Equity,50,1Y,0.294443
2025-02-19,SAN SQ Equity,50,1Y,0.289469
2025-02-20,SAN SQ Equity,50,1Y,0.30235
2025-02-21,SAN SQ Equity,50,1Y,0.291273
2025-02-24,SAN SQ Equity,50,1Y,0.288866
2025-02-25,SAN SQ Equity,50,1Y,0.285685
2025-02-26,SAN SQ Equity,50,1Y,0.289877
2025-02-27,SAN SQ Equity,50,1Y,0.291306
