date,ticker,delta,tenor,implied_vol
2025-01-02,SX7P Index,50,1Y,0.210758
2025-01-03,SX7P Index,50,1Y,0.213356
2025-01-06,SX7P Index,50,1Y,0.211876
2025-01-07,SX7P Index,50,1Y,0.214789
2025-01-08,SX7P Index,50,1Y,0.211986
2025-01-09,SX7P Index,50,1Y,0.196666
2025-01-10,SX7P Index,50,1Y,0.212996
2025-01-13,SX7P Index,50,1Y,0.214498
2025-01-14,SX7P Index,50,1Y,0.212198
2025-01-15,SX7P Index,50,1Y,0.215778
2025-01-16,SX7P Index,50,1Y,0.207742
2025-01-17,SX7P Index,50,1Y,0.215486
2025-01-20,SX7P Index,50,1Y,0.218448
2025-01-21,SX7P Index,50,1Y,0.227024
2025-01-22,SX7P Index,50,1Y,0.214931
2025-01-23,SX7P Index,50,1Y,0.217876
2025-01-24,SX7P Index,50,1Y,0.231281
2025-01-27,SX7P Index,50,1Y,0.218059
2025-01-28,SX7P Index,50,1Y,0.233798
2025-01-29,SX7P Index,50,1Y,0.224467
2025-01-30,SX7P Index,50,1Y,0.222781
2025-01-31,SX7P Index,50,1Y,0.229208
2025-02-03,SX7P Index,50,1Y,0.234688
2025-02-04,SX7P Index,50,1Y,0.219997
2025-02-05,SX7P Index,50,1Y,0.23482
2025-02-06,SX7P Index,50,1Y,0.227182
2025-02-07,SX7P Index,50,1Y,0.241554
2025-02-10,SX7P Index,50,1Y,0.227615
2025-02-11,SX7P Index,50,1Y,0.221636
2025-02-12,SX7P Index,50,1Y,0.232563
2025-02-13,SX7P Index,50,1Y,0.237384
2025-02-14,SX7P Index,50,1Y,0.241155
2025-02-17,SX7P Index,50,1Y,0.239764
2025-02-18,SX7P Index,50,1Y,0.237436
2025-02-19,SX7P Index,50,1Y,0.233649
2025-02-20,SX7P Index,50,1Y,0.231923
2025-02-21,SX7P Index,50,1Y,0.231629
2025-02-24,SX7P Index,50,1Y,0.228332
2025-02-25,SX7P Index,50,1Y,0.232555
2025-02-26,SX7P Index,50,1Y,0.223122
2025-02-27,SX7P Index,50,1Y,0.234523
2025-02-28,SX7P Index,50,1Y,0.230946
2025-03-03,SX7P Index,50,1Y,0.247875
2025-03-04,SX7P Index,50,1Y,0.23308
2025-03-05,SX7P Index,50,1Y,0.236231
2025-03-06,SX7P Index,50,1Y,0.236557
2025-03-07,SX7P Index,50,1Y,0.228627
2025-03-10,SX7P Index,50,1Y,0.233261
2025-03-11,SX7P Index,50,1Y,0.225128
2025-03-12,SX7P Index,50,1Y,0.241542
2025-03-13,SX7P Index,50,1Y,0.234918
2025-03-14,SX7P Index,50,1Y,0.227355
2025-03-17,SX7P Index,50,1Y,0.232794
2025-03-18,SX7P Index,50,1Y,0.235494
2025-03-19,SX7P Index,50,1Y,0.233603
2025-03-20,SX7P Index,50,1Y,0.233083
2025-03-21,SX7P Index,50,1Y,0.224318
2025-03-24,SX7P Index,50,1Y,0.227013
2025-03-25,SX7P Index,50,1Y,0.234823
2025-03-26,SX7P Index,50,1Y,0.23152
2025-03-27,SX7P Index,50,1Y,0.225746
2025-03-28,SX7P Index,50,1Y,0.223118
2025-03-31,SX7P Index,50,1Y,0.231903
2025-04-01,SX7P Index,50,1Y,0.223656
2025-04-02,SX7P Index,50,1Y,0.23079
2025-04-03,SX7P Index,50,1Y,0.225701
2025-04-04,SX7P Index,50,1Y,0.228343
2025-04-07,SX7P Index,50,1Y,0.232417
2025-04-08,SX7P Index,50,1Y,0.23096
2025-04-09,SX7P Index,50,1Y,0.226211
2025-04-10,SX7P Index,50,1Y,0.219345
2025-04-11,SX7P Index,50,1Y,0.222433
2025-04-14,SX7P Index,50,1Y,0.222921
2025-04-15,SX7P Index,50,1Y,0.224018
2025-04-16,SX7P Index,50,1Y,0.228048
2025-04-17,SX7P Index,50,1Y,0.229745
2025-04-18,SX7P Index,50,1Y,0.218278
2025-04-21,SX7P Index,50,1Y,0.216469
2025-04-22,SX7P Index,50,1Y,0.218214
2025-04-23,SX7P Index,50,1Y,0.216396
2025-04-24,SX7P Index,50,1Y,0.214397
2025-04-25,SX7P Index,50,1Y,0.205708
2025-04-28,SX7P Index,50,1Y,0.216966
2025-04-29,SX7P Index,50,1Y,0.203554
2025-04-30,SX7P Index,50,1Y,0.211755
2025-05-01,SX7P Index,50,1Y,0.202042
2025-05-02,SX7P Index,50,1Y,0.211439
2025-05-05,SX7P Index,50,1Y,0.198741
2025-05-06,SX7P Index,50,1Y,0.210245
2025-05-07,SX7P Index,50,1Y,0.194744
2025-05-08,SX7P Index,50,1Y,0.198218
2025-05-09,SX7P Index,50,1Y,0.205731
2025-05-12,SX7P Index,50,1Y,0.198412
2025-05-13,SX7P Index,50,1Y,0.202
2025-05-14,SX7P Index,50,1Y,0.19635
2025-05-15,SX7P Index,50,1Y,0.184434
2025-05-16,SX7P Index,50,1Y,0.199042
2025-05-19,SX7P Index,50,1Y,0.197913
2025-05-20,SX7P Index,50,1Y,0.192445
2025-05-21,SX7P Index,50,1Y,0.20084
2025-05-22,SX7P Index,50,1Y,0.187081
2025-05-23,SX7P Index,50,1Y,0.187993
2025-05-26,SX7P Index,50,1Y,0.18831
2025-05-27,SX7P Index,50,1Y,0.18768
2025-05-28,SX7P Index,50,1Y,0.200864
2025-05-29,SX7P Index,50,1Y,0.17804
2025-05-30,SX7P Index,50,1Y,0.189694
2025-06-02,SX7P Index,50,1Y,0.189289
2025-06-03,SX7P Index,50,1Y,0.170821
2025-06-04,SX7P Index,50,1Y,0.1724
2025-06-05,SX7P Index,50,1Y,0.186471
2025-06-06,SX7P Index,50,1Y,0.179202
2025-06-09,SX7P Index,50,1Y,0.18371
2025-06-10,SX7P Index,50,1Y,0.18504
2025-06-11,SX7P Index,50,1Y,0.175847
2025-06-12,SX7P Index,50,1Y,0.174071
2025-06-13,SX7P Index,50,1Y,0.162299
2025-06-16,SX7P Index,50,1Y,0.178398
2025-06-17,SX7P Index,50,1Y,0.1728
2025-06-18,SX7P Index,50,1Y,0.177317
2025-06-19,SX7P Index,50,1Y,0.176379
2025-06-20,SX7P Index,50,1Y,0.168501
2025-06-23,SX7P Index,50,1Y,0.183679
2025-06-24,SX7P Index,50,1Y,0.184462
2025-06-25,SX7P Index,50,1Y,0.181101
2025-06-26,SX7P Index,50,1Y,0.167226
2025-06-27,SX7P Index,50,1Y,0.175421
2025-06-30,SX7P Index,50,1Y,0.172445
2025-07-01,SX7P Index,50,1Y,0.171868
2025-07-02,SX7P Index,50,1Y,0.168028
2025-07-03,SX7P Index,50,1Y,0.175948
2025-07-04,SX7P Index,50,1Y,0.176737
2025-07-07,SX7P Index,50,1Y,0.176418
2025-07-08,SX7P Index,50,1Y,0.172407
2025-07-09,SX7P Index,50,1Y,0.182901
2025-07-10,SX7P Index,50,1Y,0.176896
2025-07-11,SX7P Index,50,1Y,0.1574
