date,ticker,delta,tenor,implied_vol
2025-01-02,UCG IM Equity,50,1Y,0.337394
2025-01-03,UCG IM Equity,50,1Y,0.336719
2025-01-06,UCG IM Equity,50,1Y,0.333339
2025-01-07,UCG IM Equity,50,1Y,0.335993
2025-01-08,UCG IM Equity,50,1Y,0.327588
2025-01-09,UCG IM Equity,50,1Y,0.332741
2025-01-10,UCG IM Equity,50,1Y,0.322736
2025-01-13,UCG IM Equity,50,1Y,0.342449
2025-01-14,UCG IM Equity,50,1Y,0.326374
2025-01-15,UCG IM Equity,50,1Y,0.337389
2025-01-16,UCG IM Equity,50,1Y,0.329374
2025-01-17,UCG IM Equity,50,1Y,0.328847
2025-01-20,UCG IM Equity,50,1Y,0.330617
2025-01-21,UCG IM Equity,50,1Y,0.334575
2025-01-22,UCG IM Equity,50,1Y,0.334374
2025-01-23,UCG IM Equity,50,1Y,0.342528
2025-01-24,UCG IM Equity,50,1Y,0.336449
2025-01-27,UCG IM Equity,50,1Y,0.335445
2025-01-28,UCG IM Equity,50,1Y,0.336891
2025-01-29,UCG IM Equity,50,1Y,0.337899
2025-01-30,UCG IM Equity,50,1Y,0.337233
2025-01-31,UCG IM Equity,50,1Y,0.329839
2025-02-03,UCG IM Equity,50,1Y,0.334992
2025-02-04,UCG IM Equity,50,1Y,0.334053
2025-02-05,UCG IM Equity,50,1Y,0.331541
2025-02-06,UCG IM Equity,50,1Y,0.333172
2025-02-07,UCG IM Equity,50,1Y,0.337582
2025-02-10,UCG IM Equity,50,1Y,0.33134
2025-02-11,UCG IM Equity,50,1Y,0.335813
2025-02-12,UCG IM Equity,50,1Y,0.32715
2025-02-13,UCG IM Equity,50,1Y,0.333491
2025-02-14,UCG IM Equity,50,1Y,0.338878
2025-02-17,UCG IM Equity,50,1Y,0.327437
2025-02-18,UCG IM Equity,50,1Y,0.331455
2025-02-19,UCG IM Equity,50,1Y,0.338653
2025-02-20,UCG IM Equity,50,1Y,0.328054
2025-02-21,UCG IM Equity,50,1Y,0.342348
2025-02-24,UCG IM Equity,50,1Y,0.326308
2025-02-25,UCG IM Equity,50,1Y,0.343706
2025-02-26,UCG IM Equity,50,1Y,0.337284
2025-02-27,UCG IM Equity,50,1Y,0.335783
2025-02-28,UCG IM Equity,50,1Y,0.330718
2025-03-03,UCG IM Equity,50,1Y,0.33988
2025-03-04,UCG IM Equity,50,1Y,0.327423
2025-03-05,UCG IM Equity,50,1Y,0.340995
2025-03-06,UCG IM Equity,50,1Y,0.333342
2025-03-07,UCG IM Equity,50,1Y,0.335262
2025-03-10,UCG IM Equity,50,1Y,0.337757
2025-03-11,UCG IM Equity,50,1Y,0.331125
2025-03-12,UCG IM Equity,50,1Y,0.336999
2025-03-13,UCG IM Equity,50,1Y,0.334007
2025-03-14,UCG IM Equity,50,1Y,0.329239
2025-03-17,UCG IM Equity,50,1Y,0.336585
2025-03-18,UCG IM Equity,50,1Y,0.337037
2025-03-19,UCG IM Equity,50,1Y,0.32603
2025-03-20,UCG IM Equity,50,1Y,0.333514
2025-03-21,UCG IM Equity,50,1Y,0.327906
2025-03-24,UCG IM Equity,50,1Y,0.332251
2025-03-25,UCG IM Equity,50,1Y,0.336727
2025-03-26,UCG IM Equity,50,1Y,0.331203
2025-03-27,UCG IM Equity,50,1Y,0.337345
2025-03-28,UCG IM Equity,50,1Y,0.329922
2025-03-31,UCG IM Equity,50,1Y,0.339462
2025-04-01,UCG IM Equity,50,1Y,0.335191
2025-04-02,UCG IM Equity,50,1Y,0.335712
2025-04-03,UCG IM Equity,50,1Y,0.330485
2025-04-04,UCG IM Equity,50,1Y,0.333487
2025-04-07,UCG IM Equity,50,1Y,0.331027
2025-04-08,UCG IM Equity,50,1Y,0.340675
2025-04-09,UCG IM Equity,50,1Y,0.337666
2025-04-10,UCG IM Equity,50,1Y,0.343594
2025-04-11,UCG IM Equity,50,1Y,0.344125
2025-04-14,UCG IM Equity,50,1Y,0.333826
2025-04-15,UCG IM Equity,50,1Y,0.330091
2025-04-16,UCG IM Equity,50,1Y,0.338016
2025-04-17,UCG IM Equity,50,1Y,0.339639
2025-04-18,UCG IM Equity,50,1Y,0.338714
2025-04-21,UCG IM Equity,50,1Y,0.336661
2025-04-22,UCG IM Equity,50,1Y,0.329506
2025-04-23,UCG IM Equity,50,1Y,0.33429
2025-04-24,UCG IM Equity,50,1Y,0.339345
2025-04-25,UCG IM Equity,50,1Y,0.33345
2025-04-28,UCG IM Equity,50,1Y,0.332921
2025-04-29,UCG IM Equity,50,1Y,0.336594
2025-04-30,UCG IM Equity,50,1Y,0.329546
2025-05-01,UCG IM Equity,50,1Y,0.335083
2025-05-02,UCG IM Equity,50,1Y,0.331439
2025-05-05,UCG IM Equity,50,1Y,0.326764
2025-05-06,UCG IM Equity,50,1Y,0.33878
2025-05-07,UCG IM Equity,50,1Y,0.327741
2025-05-08,UCG IM Equity,50,1Y,0.330067
2025-05-09,UCG IM Equity,50,1Y,0.331902
2025-05-12,UCG IM Equity,50,1Y,0.334818
2025-05-13,UCG IM Equity,50,1Y,0.335131
2025-05-14,UCG IM Equity,50,1Y,0.333417
2025-05-15,UCG IM Equity,50,1Y,0.330678
2025-05-16,UCG IM Equity,50,1Y,0.336933
2025-05-19,UCG IM Equity,50,1Y,0.325923
2025-05-20,UCG IM Equity,50,1Y,0.339868
2025-05-21,UCG IM Equity,50,1Y,0.339571
2025-05-22,UCG IM Equity,50,1Y,0.3352
2025-05-23,UCG IM Equity,50,1Y,0.343099
2025-05-26,UCG IM Equity,50,1Y,0.334499
2025-05-27,UCG IM Equity,50,1Y,0.340726
2025-05-28,UCG IM Equity,50,1Y,0.334593
2025-05-29,UCG IM Equity,50,1Y,0.333553
2025-05-30,UCG IM Equity,50,1Y,0.337061
2025-06-02,UCG IM Equity,50,1Y,0.33692
2025-06-03,UCG IM Equity,50,1Y,0.326476
2025-06-04,UCG IM Equity,50,1Y,0.336801
2025-06-05,UCG IM Equity,50,1Y,0.335731
2025-06-06,UCG IM Equity,50,1Y,0.338068
2025-06-09,UCG IM Equity,50,1Y,0.339833
2025-06-10,UCG IM Equity,50,1Y,0.326551
2025-06-11,UCG IM Equity,50,1Y,0.330062
2025-06-12,UCG IM Equity,50,1Y,0.343499
2025-06-13,UCG IM Equity,50,1Y,0.333417
2025-06-16,UCG IM Equity,50,1Y,0.330065
2025-06-17,UCG IM Equity,50,1Y,0.33804
2025-06-18,UCG IM Equity,50,1Y,0.3297
2025-06-19,UCG IM Equity,50,1Y,0.324583
2025-06-20,UCG IM Equity,50,1Y,0.325782
2025-06-23,UCG IM Equity,50,1Y,0.326626
2025-06-24,UCG IM Equity,50,1Y,0.340008
2025-06-25,UCG IM Equity,50,1Y,0.33409
2025-06-26,UCG IM Equity,50,1Y,0.331265
2025-06-27,UCG IM Equity,50,1Y,0.340067
2025-06-30,UCG IM Equity,50,1Y,0.339641
2025-07-01,UCG IM Equity,50,1Y,0.331476
2025-07-02,UCG IM Equity,50,1Y,0.332891
2025-07-03,UCG IM Equity,50,1Y,0.330612
2025-07-04,UCG IM Equity,50,1Y,0.330297
2025-07-07,UCG IM Equity,50,1Y,0.332235
2025-07-08,UCG IM Equity,50,1Y,0.338055
2025-07-09,UCG IM Equity,50,1Y,0.334764
2025-07-10,UCG IM Equity,50,1Y,0.330239
2025-07-11,UCG IM Equity,50,1Y,0.330794
2025-07-14,UCG IM Equity,50,1Y,0.340161
2025-07-15,UCG IM Equity,50,1Y,0.329833
2025-07-16,UCG IM Equity,50,1Y,0.327426
2025-07-17,UCG IM Equity,50,1Y,0.336478
2025-07-18,UCG IM Equity,50,1Y,0.33733
2025-07-21,UCG IM Equity,50,1Y,0.333004
2025-07-22,UCG IM Equity,50,1Y,0.328388
2025-07-23,UCG IM Equity,50,1Y,0.337542
2025-07-24,UCG IM Equity,50,1Y,0.334908
2025-07-25,UCG IM Equity,50,1Y,0.332745
2025-07-28,UCG IM Equity,50,1Y,0.329126
2025-07-29,UCG IM Equity,50,1Y,0.333633
2025-07-30,UCG IM Equity,50,1Y,0.333807
2025-07-31,UCG IM Equity,50,1Y,0.336163
2025-08-01,UCG IM Equity,50,1Y,0.331504
2025-08-04,UCG IM Equity,50,1Y,0.336161
2025-08-05,UCG IM Equity,50,1Y,0.332742
2025-08-06,UCG IM Equity,50,1Y,0.339758
2025-08-07,UCG IM Equity,50,1Y,0.326562
2025-08-08,UCG IM Equity,50,1Y,0.330752
2025-08-11,UCG IM Equity,50,1Y,0.337406
2025-08-12,UCG IM Equity,50,1Y,0.33111
2025-08-13,UCG IM Equity,50,1Y,0.333956
2025-08-14,UCG IM Equity,50,1Y,0.335844
2025-08-15,UCG IM Equity,50,1Y,0.329581
2025-08-18,UCG IM Equity,50,1Y,0.333606
2025-08-19,UCG IM Equity,50,1Y,0.342211
2025-08-20,UCG IM Equity,50,1Y,0.321678
2025-08-21,UCG IM Equity,50,1Y,0.336221
2025-08-22,UCG IM Equity,50,1Y,0.347756
2025-08-25,UCG IM Equity,50,1Y,0.332923
2025-08-26,UCG IM Equity,50,1Y,0.334222
2025-08-27,UCG IM Equity,50,1Y,0.334792
2025-08-28,UCG IM Equity,50,1Y,0.342593
2025-08-29,UCG IM Equity,50,1Y,0.330116
2025-09-01,UCG IM Equity,50,1Y,0.335618
2025-09-02,UCG IM Equity,50,1Y,0.331555
2025-09-03,UCG IM Equity,50,1Y,0.340732
2025-09-04,UCG IM Equity,50,1Y,0.33519
